Brand,Price,Original Price,Discount,Rating,Reviews,Product Link,Image URL
Lenskart Air,₹2400,₹ 2900,(17% OFF),4.8,396,https://www.lenskart.com/lenskart-air-la-e15849-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/brown-green-transparent-full-rim-rectangle-lenskart-air-switch-la-e15849-c1-clip-on-eyeglasses_g_6536_22_08_2023.jpg
Vincent Chase,₹1400,₹ 1900,(26% OFF),4.8,1390,https://www.lenskart.com/vincent-chase-vc-e13400-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e13400-c1-eyeglasses_vincent-chase-vc-e13400-c1-eyeglasses_g_9665.jpg
John Jacobs,₹4300,₹ 4900,(12% OFF),4.8,10,https://www.lenskart.com/john-jacobs-jj-e70178-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/black-full-rim-square-john-jacobs-rich-acetate-jj-e70178-eyeglasses__dsc5772_23_06_2026.jpg
Lenskart Air,₹1400,₹ 1900,(26% OFF),4.9,185,https://www.lenskart.com/lenskart-air-lae000293-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/lenskart-air-lae000293-c1-eyeglasses__dsc8850_11_11_2024.jpg
John Jacobs,₹4300,₹ 4900,(12% OFF),4.9,14,https://www.lenskart.com/john-jacobs-jj-e70110-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/black-full-rim-hexagonal-john-jacobs-supreme-steel-jj-e70110-eyeglasses__dsc9269_13_08_2025.jpg
Lenskart Air,₹1400,₹ 1900,(26% OFF),4.9,1029,https://www.lenskart.com/lenskart-air-la-0353-rimless-rectangle-tr90-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/e/lenskart-air-la-0353-ramless-rectangle-tr90-c2-eyeglasses_g_0098_2.jpg
Vincent Chase,₹1400,₹ 1900,(26% OFF),4.8,1924,https://www.lenskart.com/vincent-chase-vc-e11891-c3-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e11891-c3-eyeglasses_eyeglasses_g_2736_1.jpg
Vincent Chase,₹1400,₹ 1900,(26% OFF),4.8,1276,https://www.lenskart.com/vincent-chase-vc-e13033-m-c2-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e13033-m-c2-c2-eyeglasses_g_3464.jpg
John Jacobs,₹4300,₹ 4900,(12% OFF),4.9,205,https://www.lenskart.com/john-jacobs-jj-e15818-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/black-tortoise-full-rim-rectangle-john-jacobs-minimalist-titanium-jj-e15818-c1-eyeglasses_g_9844_25_08_2023.jpg
Lenskart Air,₹1400,₹ 1900,(26% OFF),4.9,450,https://www.lenskart.com/lenskart-air-la-e17018-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/silver-sky-blue-full-rim-square-lenskart-air-fusion-la-e17018--eyeglasses__dsc5000_28_05_2024_28_05_2024.jpg
Vincent Chase,₹1400,₹ 1900,(26% OFF),4.8,3183,https://www.lenskart.com/vincent-chase-vc-e14974-c3-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/grey-transparent-gold-sky-blue-full-rim-rectangle-vincent-chase-blend-edit-vc-e14974-c3-eyeglasses_g_3488_10_14_22.jpg
John Jacobs,₹4300,₹ 4900,(12% OFF),4.8,43,https://www.lenskart.com/john-jacobs-jj-e70135-black-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/black-full-rim-square-john-jacobs-jj-rich-acetate-jj-e70135-eyeglasses_dsc2247_11_02_2025.jpg
Lenskart Air,₹1400,₹ 1900,(26% OFF),4.8,2380,https://www.lenskart.com/lenskart-air-la-e14832-c3-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/lenskart-air-la-e14832-c3-eyeglasses_g_2361_19_07_2022.jpg
John Jacobs,₹4300,₹ 4900,(12% OFF),4.9,14,https://www.lenskart.com/john-jacobs-jj-e70180-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/transparent-full-rim-square-john-jacobs-rich-acetate-jj-e70180-eyeglasses__dsc5707_23_06_2026.jpg
Lenskart Air,₹2400,₹ 2900,(17% OFF),4.8,288,https://www.lenskart.com/lenskart-air-lae000034-c18-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/lenskart-air-lae000034-c18-eyeglasses__dsc4391_24_09_2024.jpg
John Jacobs,₹4300,₹ 4900,(12% OFF),4.9,92,https://www.lenskart.com/john-jacobs-jj-e17077-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/john-jacobs-jj-e17077-c1-eyeglasses__dsc0589_13_06_2024.jpg
Vincent Chase,₹1400,₹ 1900,(26% OFF),4.8,1478,https://www.lenskart.com/vincent-chase-vc-e13784-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/matte-black-gunmetal-grey-transparent-full-rim-round-vincent-chase-sleek-steel-vc-e13784-c2-eyeglasses__dsc9716_09_01_2025.jpg
John Jacobs,₹4300,₹ 4900,(12% OFF),4.9,124,https://www.lenskart.com/john-jacobs-jj-e16622-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/grey-transparent-full-rim-rectangle-john-jacobs-eco-acetate-jj-e16622-c2-eyeglasses_img_2984_01_02_2024.jpg
Lenskart Air,₹1400,₹ 1900,(26% OFF),4.8,1667,https://www.lenskart.com/lenskart-air-la-e14368-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/e/lenskart-air-la-e14368-c1-eyeglasses_G_0139.jpg
Vincent Chase,₹1400,₹ 1900,(26% OFF),4.8,347,https://www.lenskart.com/vincent-chase-vc-e17142-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/dark-gunmetal-black-dark-gunmetal-full-rim-rectangle-vincent-chase-sleek-steel-vc-e17142-c2-eyeglasses_dsc7175_25_06_2024.jpg
John Jacobs,₹3300,₹ 3900,(15% OFF),4.8,121,https://www.lenskart.com/john-jacobs-jj-e16845-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/brown-full-rim-rectangle-john-jacobs-tr-flex-jj-e16845-c2-eyeglasses__dsc5057_23_04_2024.jpg
Lenskart Air,₹1400,₹ 1900,(26% OFF),4.9,75,https://www.lenskart.com/lenskart-air-la-e18168-grey-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/grey-full-rim-geometric-lenskart-air-classics-la-e18168-eyeglasses__dsc6421_18_09_2025.jpg
John Jacobs,₹4300,₹ 4900,(12% OFF),4.8,22,https://www.lenskart.com/john-jacobs-jj-e16112-c4-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/gold-full-rim-round-john-jacobs-rich-acetate-jj-e16112-eyeglasses_dsc0828_28_11_2024.jpg
Lenskart Air,₹1400,₹ 1900,(26% OFF),4.8,592,https://www.lenskart.com/lenskart-air-lae000061-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/lenskart-air-lae000061-c2-eyeglasses__dsc1613.jpg
Vincent Chase,₹1400,₹ 1900,(26% OFF),4.8,3424,https://www.lenskart.com/vincent-chase-vc-e12395-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e12395-c2-eyeglasses_g_4494_image_pla.jpg
